3> Event: Initialized on 8080 with clock rate 1 | System Time: 2025-02-28 18:57:48 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 18:57:48 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 18:57:48 | Logical Clock: 0 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:57:49 | Logical Clock: 1 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:57:50 | Logical Clock: 2 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:57:51 | Logical Clock: 3 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:57:52 | Logical Clock: 4 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:57:53 | Logical Clock: 10 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:57:54 | Logical Clock: 11 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:57:54 | Logical Clock: 11 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:57:55 | Logical Clock: 12 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:57:56 | Logical Clock: 15 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:57:57 | Logical Clock: 18 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:57:58 | Logical Clock: 19 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:57:59 | Logical Clock: 20 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:00 | Logical Clock: 22 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:58:01 | Logical Clock: 23 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:02 | Logical Clock: 24 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:03 | Logical Clock: 25 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:04 | Logical Clock: 26 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:05 | Logical Clock: 27 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:06 | Logical Clock: 28 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:07 | Logical Clock: 38 | Queue Length: 1
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:58:08 | Logical Clock: 39 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:09 | Logical Clock: 42 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:58:10 | Logical Clock: 43 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:58:11 | Logical Clock: 44 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:12 | Logical Clock: 45 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:13 | Logical Clock: 46 | Queue Length: 0
