3> Event: Initialized on 8080 with clock rate 5 | System Time: 2025-02-28 19:07:49 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:07:49 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 19:07:49 | Logical Clock: 0 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:49 | Logical Clock: 1 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:49 | Logical Clock: 2 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:49 | Logical Clock: 3 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:49 | Logical Clock: 4 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:07:50 | Logical Clock: 5 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 19:07:50 | Logical Clock: 6 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:50 | Logical Clock: 7 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:50 | Logical Clock: 7 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:50 | Logical Clock: 8 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:50 | Logical Clock: 9 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:51 | Logical Clock: 10 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:51 | Logical Clock: 11 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:51 | Logical Clock: 12 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:51 | Logical Clock: 13 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 19:07:51 | Logical Clock: 14 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:52 | Logical Clock: 15 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 19:07:52 | Logical Clock: 16 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:52 | Logical Clock: 17 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:52 | Logical Clock: 18 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:52 | Logical Clock: 18 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:52 | Logical Clock: 19 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:53 | Logical Clock: 20 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:53 | Logical Clock: 21 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:53 | Logical Clock: 21 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:53 | Logical Clock: 22 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:53 | Logical Clock: 24 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:53 | Logical Clock: 25 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:54 | Logical Clock: 26 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:54 | Logical Clock: 27 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:54 | Logical Clock: 28 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:54 | Logical Clock: 29 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:54 | Logical Clock: 30 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:55 | Logical Clock: 31 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:55 | Logical Clock: 31 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:55 | Logical Clock: 32 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:55 | Logical Clock: 33 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:55 | Logical Clock: 33 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:55 | Logical Clock: 34 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:56 | Logical Clock: 35 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:56 | Logical Clock: 35 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:56 | Logical Clock: 36 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:56 | Logical Clock: 36 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:56 | Logical Clock: 37 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:56 | Logical Clock: 38 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:56 | Logical Clock: 39 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:07:57 | Logical Clock: 40 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 19:07:57 | Logical Clock: 41 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:57 | Logical Clock: 42 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:57 | Logical Clock: 43 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:57 | Logical Clock: 44 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:58 | Logical Clock: 45 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:58 | Logical Clock: 45 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:58 | Logical Clock: 46 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:07:58 | Logical Clock: 47 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 19:07:58 | Logical Clock: 48 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:07:58 | Logical Clock: 49 | Queue Length: 1
